1939 BMW 327/328 Sports Cabriolet,TMU · Manual · LHD · Restored-Modified,Belgium,"€303,140
SOLD",Bonhams,Auction,"Oct 9, 2022"
1939 BMW 327 Sport Cabriolet,TMU · Manual · LHD · Restored-Original,"Reserve, LA, USA","$192,500
SOLD",RM Sotheby's,Auction,"Sep 24, 2022"
1939 BMW 327 Sport Cabriolet,TMU · Manual · LHD · Restored-Modified,"Reserve, LA, USA","$297,000
SOLD",RM Sotheby's,Auction,"Sep 24, 2022"
1939 BMW 327/28 Sport Cabriolet,Manual · LHD · Restored-Original,"Reserve, LA, USA","$148,500
SOLD",RM Sotheby's,Auction,"Sep 24, 2022"
1938 BMW 327/28 Sport Cabriolet,TMU · Manual · LHD · Restored-Original,"Monterey County, CA, USA","$280,000
SOLD",RM Sotheby's,Auction,"Aug 20, 2022"
1938 BMW 327 Cabriolet,TMU · Manual · LHD · Restored-Original,"Roseville, CA, USA","$137,200
SOLD",Bonhams,Auction,"Aug 19, 2022"
1939 Frazer Nash-Bmw 327/80 Cabriolet,TMU · Manual · RHD · Restored-Original,"London, GBR","£144,000
SOLD",Silverstone (UK),Auction,"Mar 5, 2022"
1939 BMW 327 Cabriolet,"2,000 km (1,243 mi) · Manual · LHD · Restored-Original","Hradec Králové, CZE",SOLD,Auctomobile,Fixed-price,"Jan 20, 2022"
1939 BMW 327/28 Spec Cabriolet,TMU · Manual · LHD · Restored-Modified,"Emeryville, CA, USA",SOLD,Fantasy Junction,Fixed-price,"Jan 7, 2022"
1938 BMW 327 Sports Roadster,TMU · Manual · RHD · Restored-Modified,"Chichester, GBR","£57,500
SOLD",Bonhams,Auction,"Jul 9, 2021"
1940 BMW 327 Sport Cabriolet,TMU,"Brugge, BEL","€201,250
SOLD",Bonhams,Auction,"Oct 11, 2020"
1939 BMW 327 Coupé,,PRT,"€90,850
SOLD",RM Sotheby's,Auction,"Sep 21, 2019"
1939 BMW 327/328 Sports Cabriolet,,"Paris, FRA","€212,750
SOLD",Bonhams,Auction,"Feb 7, 2019"
1939 BMW 327/28 Cabriolet,Manual · LHD · Restored-Original,"Scottsdale, AZ, USA","$264,000
SOLD",Worldwide Auctioneers,Auction,"Jan 16, 2019"
1941 BMW 327 Cabriolet,,"Phoenix, AZ, USA","$151,200
SOLD",RM Sotheby's,Auction,"Jan 19, 2018"
1939 BMW 327 Cabriolet,,"Scottsdale, AZ, USA","$253,000
SOLD",Worldwide Auctioneers,Auction,"Jan 17, 2018"
1939 BMW 327/328 Cabriolet,,"Greenwich, CT, USA","$220,000
SOLD",Bonhams,Auction,"Jun 4, 2017"
1937 BMW 327 Coupé,,"Paris, FRA","€65,560
SOLD",Artcurial (EU),Auction,"Oct 30, 2016"
1940 BMW 327 Cabriolet,,"Sarthe, FRA","€184,760
SOLD",Artcurial (EU),Auction,"Jul 9, 2016"
1938 BMW 327 Sport Cabriolet,,"Monaco, MCO","€134,400
SOLD",RM Sotheby's,Auction,"May 14, 2016"
1939 BMW 327/28 Coupe,,"Phoenix, AZ, USA","$176,000
SOLD",RM Sotheby's,Auction,"Jan 17, 2014"
1941 BMW 327/328 Cabriolet,TMU · Manual · LHD,"Elmbridge, GBR","£118,720
SOLD",Historics (UK),Auction,"Nov 30, 2013"
