1992 BMW Alpina B10 bi-Turbo,"188,043 km (116,844 mi) · Manual · LHD · Restored-Original","Vale of White Horse, GBR","£40,500
SOLD",The Market by Bonhams,Auction,"Nov 16, 2022"
2008 BMW Alpina B7,"45,000 mi · Automatic · LHD · Original & Highly Original","Darien, WI, USA","$25,500
SOLD",Bring a Trailer,Auction,"Nov 15, 2022"
2008 BMW Alpina D3 - Manual,"3,555 mi · Manual · RHD · Original & Highly Original","Birmingham, GBR","£19,125
SOLD",Silverstone (UK),Auction,"Nov 12, 2022"
2006 BMW Alpina B5 Saloon uk-Supplied,"94,000 mi · Automatic · RHD · Original & Highly Original","Birmingham, GBR","£17,437
SOLD",Silverstone (UK),Auction,"Nov 12, 2022"
2003 BMW Alpina Roadster V8,"44,000 mi · Automatic · LHD · Original & Highly Original","Durham, NC, USA","$160,000
SOLD",Bring a Trailer,Auction,"Nov 9, 2022"
2001 BMW Alpina B10 4.6 V8,"65,400 mi · Automatic · RHD · Original & Highly Original","Vale of White Horse, GBR","£15,500
SOLD",The Market by Bonhams,Auction,"Nov 8, 2022"
1996 BMW Alpina B3 3.2 Cabriolet,"170,000 km (105,633 mi) · Automatic · LHD · Original & Highly Original","Nanaimo, BC, CAN","$19,250
SOLD",Bring a Trailer,Auction,"Nov 8, 2022"
2022 BMW Alpina B8 Gran Coupe,112 mi · Automatic · LHD · Original & Highly Original,"Torrance, CA, USA","$135,000
SOLD",PCARMARKET,Auction,"Nov 4, 2022"
2016 BMW Alpina B6,"38,331 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Oct 28, 2022"
2011 BMW Alpina B7 LWB,"50,400 mi · Automatic · LHD · Original & Highly Original","Henderson, NV, USA","$27,000
SOLD",Cars & Bids,Auction,"Oct 28, 2022"
2003 BMW Alpina Roadster V8,"16,000 mi · Automatic · LHD · Original & Highly Original","Odessa, FL, USA","$285,000
SOLD",Bring a Trailer,Auction,"Oct 26, 2022"
1984 BMW Alpina B6 2.8,"10,184 km (6,328 mi) · Manual · LHD · Original & Highly Original","Houston, TX, USA","$175,000
SOLD",Bring a Trailer,Auction,"Oct 25, 2022"
2008 Alpina B7,"25,000 mi · Automatic · LHD · Original & Highly Original","Cliffside Park, NJ, USA","$34,000
SOLD",Bring a Trailer,Auction,"Oct 18, 2022"
2003 BMW Alpina Roadster V8,"73,000 mi · Automatic · LHD · Original & Highly Original","Polk County, FL, USA","$195,000
SOLD",Bring a Trailer,Auction,"Oct 17, 2022"
2019 BMW Alpina B7 xDrive,"25,465 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Oct 5, 2022"
1993 Alpina C2 2.7 Convertible 5-Speed,"90,000 mi · Manual · RHD · Restored-Original","Village of Warwick, NY, USA","$30,250
SOLD",Bring a Trailer,Auction,"Sep 30, 2022"
2003 BMW Z-8 Alpina,"1,306 mi · Automatic · LHD · Original & Highly Original","Costa Mesa, CA, USA",SOLD,Crevier Classic Cars,Fixed-price,"Sep 21, 2022"
2013 BMW Alpina B7 xDrive,"21,282 mi · Automatic · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Sep 9, 2022"
2003 BMW Alpina Roadster V8,"55,000 mi · Automatic · LHD · Original & Highly Original","Village/Town of Mount Kisco, NY, USA","$232,000
SOLD",Bring a Trailer,Auction,"Sep 7, 2022"
