1957 BMW Isetta 600 (700),TMU · Manual · RHD · Restored-Modified,"Birmingham, GBR","£56,250
SOLD",Silverstone (UK),Auction,"Nov 12, 2022"
1959 BMW Isetta 600,TMU · Manual · LHD · Restored-Original,"Twinsburg, OH, USA","$56,000
SOLD",Bring a Trailer,Auction,"Nov 11, 2022"
1957 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Twinsburg, OH, USA","$29,000
SOLD",Bring a Trailer,Auction,"Nov 11, 2022"
1957 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Montreal, QC, CAN","$22,000
SOLD",PCARMARKET,Fixed-price,"Oct 27, 2022"
1957 BMW Isetta Project,TMU · Manual · LHD · Project,"Toronto, ON, CAN","CAD11,500
SOLD",Formula Auctions,Auction,"Oct 22, 2022"
1959 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,Netherlands,"€22,000
SOLD",Catawiki,Auction,"Sep 29, 2022"
1958 BMW Isetta 600,TMU · Manual · LHD · Restored-Original,"Roseville, CA, USA","$67,200
SOLD",Bonhams,Auction,"Aug 19, 2022"
1961 BMW Isetta,TMU · Manual · RHD · Restored-Original,"Vale of White Horse, GBR","£14,000
SOLD",The Market by Bonhams,Auction,"Aug 18, 2022"
1959 BMW Isetta 300,Manual · LHD · Original & Highly Original,"Buxton, GBR","£10,125
SOLD",H&H Auctioneers UK,Auction,"Jul 27, 2022"
1958 BMW Isetta 600 Project,TMU · Manual · LHD · Project,"Hartford, VT, USA","$19,750
SOLD",Bring a Trailer,Auction,"Jul 5, 2022"
1958 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Las Vegas, NV, USA","$44,000
SOLD",Barrett-Jackson,Auction,"Jul 2, 2022"
1957 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Seattle, WA, USA","$25,000
SOLD",Bring a Trailer,Auction,"Jun 16, 2022"
1959 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"San Rafael, CA, USA","$30,911
SOLD",Bring a Trailer,Auction,"Jun 9, 2022"
1955 BMW Isetta 250 Bubble Window,TMU · Manual · LHD · Original & Highly Original,"Upland, CA, USA","$31,000
SOLD",Bring a Trailer,Auction,"Jun 3, 2022"
1958 BMW Isetta 300 Project,TMU · Manual · LHD · Project,"La Mesa, CA, USA","$20,250
SOLD",Bring a Trailer,Auction,"May 31, 2022"
1958 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Rochester, IN, USA","$27,000
SOLD",Bring a Trailer,Auction,"May 26, 2022"
1958 BMW Isetta ‘Pick-up’,TMU · Manual · LHD · Restomod & Custom,"Ascot, GBR","£22,400
SOLD",Historics (UK),Auction,"May 21, 2022"
1958 BMW Isetta 300 Cabriolet,TMU · Manual · LHD · Restored-Modified,"Las Vegas, NV, USA","$35,005
SOLD",Bring a Trailer,Auction,"Apr 6, 2022"
1957 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Houston, TX, USA","$32,000
SOLD",Mecum,Auction,"Apr 1, 2022"
1962 BMW Isetta 300 Cabriolet,TMU · Manual · LHD · Restored-Original,"Glendale, AZ, USA","$35,000
SOLD",Mecum,Auction,"Mar 17, 2022"
1957 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Greensboro, NC, USA","$40,000
SOLD",GAA,Auction,"Feb 25, 2022"
1957 BMW Isetta 300 Cabriolet,TMU · Manual · LHD · Restored-Original,"Scottsdale, AZ, USA","$33,000
SOLD",Barrett-Jackson,Auction,"Jan 26, 2022"
1957 BMW Isetta 300,Manual · LHD · Restored-Original,"Scottsdale, AZ, USA","$26,950
SOLD",Barrett-Jackson,Auction,"Jan 24, 2022"
1958 BMW Isetta 300 Cabriolet,"19,000 mi · Manual · LHD · Restored-Original","Kissimmee, FL, USA","$56,000
SOLD",Mecum,Auction,"Jan 13, 2022"
1959 BMW Isetta Microcar,TMU · Manual · LHD · Restored-Original,"Kissimmee, FL, USA","$48,000
SOLD",Mecum,Auction,"Jan 9, 2022"
1960 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Emeryville, CA, USA",SOLD,Fantasy Junction,Fixed-price,"Jan 7, 2022"
1957 BMW Isetta 300,"24,017 mi · Manual · LHD · Restored-Original","Miami, FL, USA","$30,500
SOLD",Hemmings,Fixed-price,"Jan 4, 2022"
1959 BMW Isetta 300,"27,000 mi · Manual · LHD · Restored-Original","Troutdale, OR, USA","$36,000
SOLD",Bring a Trailer,Auction,"Nov 19, 2021"
1958 BMW Isetta,"37,000 mi · Manual · LHD · Restored-Original","Bandera County, TX, USA","$37,000
SOLD",Bring a Trailer,Auction,"Nov 9, 2021"
1962 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Greensboro, NC, USA","$37,000
SOLD",GAA,Auction,"Nov 4, 2021"
1959 BMW Isetta 300,TMU · Manual · LHD · Restored-Original,"Greeley, CO, USA","$42,500
SOLD",Bring a Trailer,Auction,"Nov 2, 2021"
1958 BMW Isetta 300,Manual · LHD · Restored-Original,"Hershey, PA, USA","$28,600
SOLD",RM Sotheby's,Auction,"Oct 8, 2021"
1957 BMW Isetta 300 Cabriolet Project,TMU · Manual · LHD · Project,"Hartford, VT, USA","$17,100
SOLD",Bring a Trailer,Auction,"Oct 1, 2021"
