2020 BMW M2 Competition,"30,700 mi · Automatic · LHD · Original & Highly Original","Grand Rapids, MI, USA",SOLD,Garage Kept Motors,Fixed-price,"Nov 12, 2022"
2019 BMW M2 Competition - Manual,"28,126 mi · Manual · RHD · Original & Highly Original","Calderdale, GBR","£35,000
SOLD",Collecting Cars,Auction,"Oct 25, 2022"
2020 BMW M240I xDrive Coupe,"23,000 mi · Automatic · LHD · Original & Highly Original","Aurora, CO, USA","$39,250
SOLD",Cars & Bids,Auction,"Oct 21, 2022"
2020 BMW M2 Competition,"25,900 mi · Automatic · LHD · Original & Highly Original","Bellevue, WA, USA",SOLD,Park Place LTD,Fixed-price,"Oct 16, 2022"
2015 BMW 228I Convertible,Automatic · LHD · Original & Highly Original,"Chicago, IL, USA","$22,000
SOLD",Mecum,Auction,"Oct 15, 2022"
2015 BMW 228I Convertible,"70,124 mi · Automatic · LHD · Original & Highly Original","Chicago, IL, USA",SOLD,Mecum,Auction,"Oct 14, 2022"
2020 BMW M2 Competition,"28,000 mi · Automatic · LHD · Original & Highly Original","Vonore, TN, USA","$51,500
SOLD",Bring a Trailer,Auction,"Oct 13, 2022"
2014 BMW M235I,"29,499 mi · Manual · LHD · Original & Highly Original","Oakland County, MI, USA",SOLD,GR Auto Gallery,Fixed-price,"Oct 6, 2022"
2017 BMW M240I,"24,900 mi · Manual · RHD · Original & Highly Original","London, GBR","£16,751
SOLD",Collecting Cars,Auction,"Oct 3, 2022"
2016 BMW M235I Convertible,"51,000 mi · Manual · LHD · Original & Highly Original","Owens Cross Roads, AL, USA","$24,000
SOLD",Cars & Bids,Auction,"Sep 28, 2022"
2021 BMW M2 CS,"5,876 mi · Manual · RHD · Modified","Tewkesbury, GBR","£79,500
SOLD",Collecting Cars,Auction,"Sep 25, 2022"
2020 BMW M2 Competition,"14,584 mi · Manual · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Sep 23, 2022"
2020 BMW M2 Competition,"27,000 mi · Automatic · LHD · Original & Highly Original","Pikesville, MD, USA","$54,788
SOLD",Cars & Bids,Auction,"Sep 23, 2022"
2017 BMW Schnitzer ACL2S Coupé,"7,253 km (4,507 mi) · Automatic · RHD · Restomod & Custom","Chichester, GBR","£57,500
SOLD",Bonhams,Auction,"Sep 17, 2022"
2017 BMW M2,"29,100 mi · Automatic · LHD · Original & Highly Original","Cedar Park, TX, USA","$43,500
SOLD",Cars & Bids,Auction,"Aug 29, 2022"
2020 BMW M2 CS 6-Speed,"8,000 mi · Manual · LHD · Original & Highly Original","Durham, NC, USA","$82,500
SOLD",Bring a Trailer,Auction,"Aug 29, 2022"
2018 BMW M240I Coupe,"61,000 mi · Manual · LHD · Original & Highly Original","Fremont, CA, USA","$31,250
SOLD",Cars & Bids,Auction,"Aug 24, 2022"
2016 BMW M235I Coupe,"41,500 mi · Manual · LHD · Modified","Wayne County, PA, USA","$31,250
SOLD",Cars & Bids,Auction,"Aug 17, 2022"
2016 BMW M2,"78,100 mi · Manual · LHD · Modified","Telford, PA, USA","$37,500
SOLD",Cars & Bids,Auction,"Aug 15, 2022"
2020 BMW M2 Competition,"3,132 mi · Manual · LHD · Original & Highly Original","Upper Merion Township, PA, USA",SOLD,Motorcars of the Mainline,Fixed-price,"Aug 8, 2022"
2020 BMW M2 CS 6-Speed,800 mi · Manual · LHD · Original & Highly Original,"Manchester, NH, USA","$113,000
SOLD",Bring a Trailer,Auction,"Aug 8, 2022"
2020 BMW M2 CS,"2,073 mi · Automatic · RHD · Original & Highly Original","Lincoln, GBR","£73,000
SOLD",Collecting Cars,Auction,"Aug 4, 2022"
2014 BMW M235I Coupe,"84,400 mi · Manual · LHD · Original & Highly Original","Somerset County, NJ, USA","$23,750
SOLD",Cars & Bids,Auction,"Aug 4, 2022"
2020 BMW M2 Competition 6-Speed,"3,000 mi · Manual · LHD · Original & Highly Original","Westford, MA, USA","$64,500
SOLD",Bring a Trailer,Auction,"Aug 2, 2022"
2020 BMW M2 Competition,"25,687 mi · Automatic · LHD · Original & Highly Original","Bellevue, WA, USA",SOLD,Park Place LTD,Fixed-price,"Jul 27, 2022"
2020 BMW M2 Competition 6-Speed,"5,000 mi · Manual · LHD · Original & Highly Original","Cupertino, CA, USA","$65,055
SOLD",Bring a Trailer,Auction,"Jul 26, 2022"
2018 BMW M240I,"33,169 mi · Manual · LHD · Original & Highly Original","Miami-Dade County, FL, USA",SOLD,Prestige Imports,Fixed-price,"Jul 22, 2022"
2020 BMW M2 CS,"4,800 mi · Automatic · LHD · Original & Highly Original","City of New Rochelle, NY, USA","$92,500
SOLD",Bring a Trailer,Auction,"Jul 21, 2022"
2016 BMW M2,"69,903 km (43,436 mi) · Automatic · RHD · Modified","Sydney, NSW, AUS","AUD57,000
SOLD",Collecting Cars,Auction,"Jul 13, 2022"
2017 BMW M240I Convertible,"15,200 mi · Manual · LHD · Original & Highly Original","Ann Arbor, MI, USA","$33,583
SOLD",Cars & Bids,Auction,"Jul 5, 2022"
2021 BMW M2 Competition,"2,619 mi · Automatic · RHD · Original & Highly Original","Telford, GBR","£43,000
SOLD",Collecting Cars,Auction,"Jul 3, 2022"
