1999 BMW Z3 M Coupe,"93,766 mi · Manual · RHD · Original & Highly Original","Middlesbrough, GBR","£19,501
SOLD",Collecting Cars,Auction,"Nov 17, 2022"
1997 BMW Z3 1.8,"181,000 km (112,468 mi) · Manual · LHD · Original & Highly Original",Netherlands,"€5,670
SOLD",Catawiki,Auction,"Nov 16, 2022"
1998 BMW Z3 1.8,"180,109 km (111,915 mi) · Manual · LHD · Original & Highly Original",Netherlands,"€4,700
SOLD",Catawiki,Auction,"Nov 16, 2022"
1999 BMW M Coupe,"95,000 mi · Manual · LHD · Modified","Saint Petersburg, FL, USA","$21,750
SOLD",Bring a Trailer,Auction,"Nov 15, 2022"
1998 BMW Z3 M Roadster,"90,330 km (56,128 mi) · Manual · LHD · Original & Highly Original","Västra Götaland County, SWE","€22,500
SOLD",Collecting Cars,Auction,"Nov 14, 2022"
2001 BMW Z3 2.5I,"79,000 mi · Automatic · LHD · Original & Highly Original","Town of North Salem, NY, USA","$11,250
SOLD",Bring a Trailer,Auction,"Nov 11, 2022"
1997 BMW Z3,"57,074 mi · Manual · LHD · Original & Highly Original","Seminole County, FL, USA","$16,500
SOLD",Gateway Classic Cars,Fixed-price,"Nov 9, 2022"
2000 BMW M Coupe,"39,000 mi · Manual · LHD · Original & Highly Original","Malvern, PA, USA","$41,372
SOLD",Bring a Trailer,Auction,"Nov 8, 2022"
1999 BMW Z3 2.3 5-Speed,"118,000 mi · Manual · LHD · Modified","Pequannock Township, NJ, USA","$16,000
SOLD",Bring a Trailer,Auction,"Nov 8, 2022"
1997 BMW Z3 2.8,"47,185 mi · Manual · LHD · Original & Highly Original","Grand Rapids, MI, USA",SOLD,GR Auto Gallery,Fixed-price,"Nov 4, 2022"
1999 BMW Z3 2.8 Coupe 5-Speed,"68,000 mi · Manual · LHD · Original & Highly Original","Denver, CO, USA","$20,501
SOLD",Bring a Trailer,Auction,"Nov 3, 2022"
2000 BMW M Coupe,"64,000 mi · Manual · LHD · Original & Highly Original","Pleasanton, CA, USA","$39,800
SOLD",Bring a Trailer,Auction,"Nov 1, 2022"
2001 BMW Z3 Roadster,"46,942 mi · Manual · LHD · Original & Highly Original","Marietta, GA, USA",SOLD,Collectible Motor Car of Atlanta,Fixed-price,"Oct 30, 2022"
2001 BMW Z3 3.0I 5-Speed,"77,000 mi · Manual · LHD · Original & Highly Original","Oak Hill, TN, USA","$15,000
SOLD",Bring a Trailer,Auction,"Oct 29, 2022"
2001 BMW Z3 Coupe,"79,400 mi · Manual · LHD · Restored-Modified","Parsippany-Troy Hills, NJ, USA",SOLD,Zoom Classic Cars,Fixed-price,"Oct 28, 2022"
1998 BMW Z3 1.8,"180,109 km (111,915 mi) · Manual · LHD · Original & Highly Original",Netherlands,"€5,000
SOLD",Catawiki,Auction,"Oct 27, 2022"
2002 BMW Z3 M Coupe,"47,400 mi · Manual · LHD · Original & Highly Original","Ellicott City, MD, USA","$51,000
SOLD",Cars & Bids,Auction,"Oct 26, 2022"
2001 BMW M Roadster S54,"61,000 mi · Manual · LHD · Original & Highly Original","Lower Gwynedd Township, PA, USA","$25,000
SOLD",Bring a Trailer,Auction,"Oct 26, 2022"
1998 BMW M Roadster,"23,000 mi · Manual · LHD · Original & Highly Original","Punta Gorda, FL, USA","$25,000
SOLD",Bring a Trailer,Auction,"Oct 24, 2022"
1997 BMW Z3 2.8 5-Speed,"17,000 mi · Manual · LHD · Original & Highly Original","Stonington, CT, USA","$21,000
SOLD",Bring a Trailer,Auction,"Oct 23, 2022"
2002 BMW Z3 3.0 5-Speed,"85,000 mi · Manual · LHD · Original & Highly Original","Hampstead, NC, USA","$15,750
SOLD",Bring a Trailer,Auction,"Oct 22, 2022"
1997 BMW Z3 M Roadster,"102,800 mi · Manual · RHD · Original & Highly Original","Leeds, GBR","£11,350
SOLD",Collecting Cars,Auction,"Oct 20, 2022"
1997 BMW Z3 1.9 Roadster 5-Speed,"88,315 mi · Manual · LHD · Original & Highly Original","Vero Beach, FL, USA","$9,243
SOLD",PCARMARKET,Fixed-price,"Oct 17, 2022"
2001 BMW Z3 3.0I 5-Speed,"59,000 mi · Manual · LHD · Original & Highly Original","San Jose, CA, USA","$14,750
SOLD",Bring a Trailer,Auction,"Oct 15, 2022"
1997 BMW Z3 Convertible,Automatic · LHD · Original & Highly Original,"Chicago, IL, USA","$12,100
SOLD",Mecum,Auction,"Oct 15, 2022"
1997 BMW Z3 Convertible,"42,342 mi · Automatic · LHD · Original & Highly Original","Chicago, IL, USA",SOLD,Mecum,Auction,"Oct 14, 2022"
1998 BMW Z3 Roadster,Manual · LHD · Original & Highly Original,"Chattanooga, TN, USA","$8,800
SOLD",Mecum,Auction,"Oct 14, 2022"
1999 BMW Z3 M,"73,384 mi · Manual · LHD · Original & Highly Original","Chicago, IL, USA","$20,350
SOLD",Mecum,Auction,"Oct 14, 2022"
1996 BMW Z3 1.9,"41,000 mi · Automatic · LHD · Original & Highly Original","Village of Wappingers Falls, NY, USA","$9,700
SOLD",Bring a Trailer,Auction,"Oct 14, 2022"
2000 BMW M Roadster,"63,371 mi · Manual · LHD · Original & Highly Original","Chicago, IL, USA","$34,100
SOLD",Mecum,Auction,"Oct 14, 2022"
2000 BMW M Roadster,"12,000 mi · Manual · LHD · Original & Highly Original","Town/Village of East Rochester, NY, USA","$29,000
SOLD",Bring a Trailer,Auction,"Oct 13, 2022"
2001 BMW Z3 Coupe 3.0I 5-Speed,"73,000 mi · Manual · LHD · Original & Highly Original","Meridian, PA, USA","$25,000
SOLD",Bring a Trailer,Auction,"Oct 12, 2022"
2001 BMW Z3 M Roadster,"48,000 mi · Manual · LHD · Original & Highly Original","Stratford, CT, USA",SOLD,Automotive Restorations,Fixed-price,"Oct 11, 2022"
2001 BMW Z3 3.0I Coupe,"21,771 mi · Manual · LHD · Original & Highly Original","Tulsa, OK, USA","$30,750
SOLD",PCARMARKET,Auction,"Oct 6, 2022"
2000 BMW M Roadster,"29,000 mi · Manual · LHD · Original & Highly Original","Lawrenceville, GA, USA","$29,500
SOLD",Bring a Trailer,Auction,"Oct 6, 2022"
1999 BMW M Coupe,"142,000 mi · Manual · LHD · Original & Highly Original","Rancho Santa Fe, CA, USA","$26,500
SOLD",Bring a Trailer,Auction,"Oct 6, 2022"
2001 BMW Z3,"41,655 mi · Automatic · LHD · Original & Highly Original","Muncie, IN, USA","$11,000
SOLD",AutoHunter,Auction,"Oct 5, 2022"
1998 BMW Z3 2.8 5-Speed,"62,000 mi · Manual · LHD · Modified","Fitchburg, MA, USA","$6,367
SOLD",Bring a Trailer,Auction,"Oct 5, 2022"
2000 BMW Z3,"60,239 mi · Manual · LHD · Original & Highly Original","Traverse City, MI, USA",SOLD,GR Auto Gallery,Fixed-price,"Oct 5, 2022"
2001 BMW M Roadster S54,"25,000 mi · Manual · LHD · Original & Highly Original","Rock Stream, NY, USA","$30,500
SOLD",Bring a Trailer,Auction,"Oct 3, 2022"
2000 BMW M Roadster,"58,000 mi · Manual · LHD · Original & Highly Original","Richmond, VA, USA","$25,000
SOLD",Bring a Trailer,Auction,"Oct 1, 2022"
1999 BMW Z3 M Coupe,654 mi · Manual · RHD · Original & Highly Original,"Peterborough, GBR","£58,500
SOLD",Collecting Cars,Auction,"Sep 29, 2022"
1996 BMW Z3 1.9 5-Speed,"41,000 mi · Manual · LHD · Original & Highly Original","San Jose, CA, USA","$11,750
SOLD",Bring a Trailer,Auction,"Sep 29, 2022"
1999 BMW Z3 2.8 Roadster,"177,803 km (110,482 mi) · Automatic · LHD · Original & Highly Original",Netherlands,"€12,000
SOLD",Catawiki,Auction,"Sep 27, 2022"
1998 BMW Z3 2.8 Roadster 5-Speed,"26,603 mi · Manual · LHD · Original & Highly Original","Oyster Bay, NY, USA","$15,400
SOLD",PCARMARKET,Auction,"Sep 27, 2022"
2002 BMW M Coupe S54,"22,000 mi · Manual · LHD · Original & Highly Original","Saint Simons, GA, USA","$77,000
SOLD",Bring a Trailer,Auction,"Sep 27, 2022"
2000 BMW Z3M Roadster,"89,209 mi · Manual · RHD · Restored-Original",United Kingdom,"£8,437
SOLD",CCA Everyman Classics (UK),Auction,"Sep 24, 2022"
2002 BMW Z3,"72,436 mi · Automatic · LHD · Original & Highly Original","City of Saratoga Springs, NY, USA","$7,425
SOLD",Saratoga Motorcar Auctions,Auction,"Sep 24, 2022"
2001 BMW M Roadster S54,"35,000 mi · Manual · LHD · Original & Highly Original","Austin, TX, USA","$32,000
SOLD",Bring a Trailer,Auction,"Sep 23, 2022"
2000 BMW Z3 2.3,"81,000 mi · Automatic · LHD · Original & Highly Original","Town of North Salem, NY, USA","$12,250
SOLD",Bring a Trailer,Auction,"Sep 20, 2022"
1999 BMW M Roadster,"57,000 mi · Manual · LHD · Original & Highly Original","Richmond, BC, CAN","$21,000
SOLD",Bring a Trailer,Auction,"Sep 20, 2022"
1998 BMW Z3 M Roadster,"86,600 mi · Manual · LHD · Original & Highly Original","Folsom, CA, USA","$14,100
SOLD",Cars & Bids,Auction,"Sep 16, 2022"
2000 BMW Z3 M Coupe,"41,983 mi · Manual · RHD · Original & Highly Original","Houston, GBR","£34,750
SOLD",Collecting Cars,Auction,"Sep 15, 2022"
2002 BMW Z3 Coupe 3.0I 5-Speed,"69,000 mi · Manual · LHD · Original & Highly Original","Lincoln, NE, USA","$25,500
SOLD",Bring a Trailer,Auction,"Sep 15, 2022"
2002 BMW Z3 2.5I 5-Speed,"17,361 mi · Manual · LHD · Original & Highly Original","Moonachie, NJ, USA","$23,500
SOLD",Bring a Trailer,Auction,"Sep 15, 2022"
1997 BMW Z3 Convertible,"23,158 mi · Automatic · LHD · Original & Highly Original","La Vergne, TN, USA","$17,500
SOLD",Gateway Classic Cars,Fixed-price,"Sep 15, 2022"
1997 BMW Z3 2.8,"39,000 mi · Automatic · LHD · Original & Highly Original","Huntington Beach, CA, USA","$11,500
SOLD",Bring a Trailer,Auction,"Sep 13, 2022"
1997 BMW Z3 1.9 5-Speed,"69,000 mi · Manual · LHD · Original & Highly Original","High Point, NC, USA","$15,500
SOLD",Bring a Trailer,Auction,"Sep 13, 2022"
1999 BMW Z3 Coupe 2.8,"116,634 km (72,473 mi) · Manual · LHD · Original & Highly Original","Västerås, SWE","€17,000
SOLD",Collecting Cars,Auction,"Sep 12, 2022"
1999 BMW M Roadster,"68,000 mi · Manual · LHD · Original & Highly Original","Peoria, IL, USA","$20,250
SOLD",Bring a Trailer,Auction,"Sep 12, 2022"
2001 BMW M Roadster S54,"78,000 mi · Manual · LHD · Original & Highly Original","Wichita, KS, USA","$26,000
SOLD",Bring a Trailer,Auction,"Sep 11, 2022"
1999 BMW M Coupe,"18,000 mi · Manual · LHD · Original & Highly Original","Lafayette, IN, USA","$39,250
SOLD",Bring a Trailer,Auction,"Sep 11, 2022"
