1988 Mercedes-Benz 560 SL,"84,874 mi · Automatic · LHD · Original & Highly Original","Lebanon, TN, USA",SOLD,Frazier Motorcar Company,Fixed-price,"Nov 27, 2022"
2003 Mercedes-Benz SL55 AMG,"58,978 mi · Automatic · LHD · Original & Highly Original","Mesa, AZ, USA",SOLD,Streetside Classics,Fixed-price,"Nov 27, 2022"
2005 Mercedes-Benz SL55 AMG,"42,285 mi · Automatic · RHD · Original & Highly Original","Carlisle, GBR","£23,750
SOLD",Collecting Cars,Auction,"Nov 27, 2022"
1991 Mercedes-Benz 300SL,"96,250 mi · Automatic · LHD · Original & Highly Original","Franklin County, VA, USA","$5,750
SOLD",The MB Market,Auction,"Nov 22, 2022"
2013 Mercedes-Benz SL550,"16,000 mi · Automatic · LHD · Original & Highly Original","Palm Beach County, FL, USA","$48,500
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
2006 Mercedes-Benz SL600,"58,000 mi · Automatic · LHD · Modified","Costa Mesa, CA, USA","$35,555
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
2013 Mercedes-Benz SL63 AMG,"18,000 mi · Automatic · LHD · Original & Highly Original","Morristown, NJ, USA","$58,000
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
1967 Mercedes-Benz 250SL Pagoda,TMU · Manual · LHD · Restored-Original,"Mankato, MN, USA",SOLD,Unique Classic Cars,Fixed-price,"Nov 24, 2022"
1986 Mercedes-Benz 560SL,"89,253 mi · Automatic · LHD · Original & Highly Original","Mesa, AZ, USA",SOLD,Streetside Classics,Fixed-price,"Nov 24, 2022"
1988 Mercedes-Benz 560SL,"53,542 mi · Automatic · LHD · Original & Highly Original","Costa Mesa, CA, USA",SOLD,European Collectibles,Fixed-price,"Nov 22, 2022"
1966 Mercedes-Benz 230SL,"44,887 mi · Manual · LHD · Project",Netherlands,"€28,000
SOLD",Catawiki,Auction,"Nov 24, 2022"
1972 Mercedes-Benz 350SL,"268,871 km (167,069 mi) · Automatic · LHD · Original & Highly Original",Netherlands,"€11,001
SOLD",Catawiki,Auction,"Nov 24, 2022"
1979 Mercedes-Benz 450SL,"177,000 mi · Automatic · LHD · Original & Highly Original",Netherlands,"€14,000
SOLD",Catawiki,Auction,"Nov 24, 2022"
1966 Mercedes-Benz 230SL,"30,916 mi · Manual · LHD · Project",Netherlands,"€32,000
SOLD",Catawiki,Auction,"Nov 24, 2022"
1984 Mercedes-Benz 380SL,"37,397 mi · Automatic · LHD · Original & Highly Original","Village of Pewaukee, WI, USA",SOLD,Cassandra's Motorsports,Fixed-price,"Nov 24, 2022"
1988 Mercedes-Benz 560SL,"77,292 mi · Automatic · LHD · Original & Highly Original","Los Angeles, CA, USA",SOLD,Beverly Hills Car Club,Fixed-price,"Nov 24, 2022"
1987 Mercedes-Benz 300SL,"67,500 mi · Automatic · LHD · Restored-Original","Bend, OR, USA","$17,500
SOLD",Hemmings,Auction,"Nov 21, 2022"
2003 Mercedes-Benz SL500,"21,000 mi · Automatic · LHD · Original & Highly Original","Wexford, PA, USA","$20,500
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
1965 Mercedes-Benz 230SL,TMU · Automatic · LHD · Restored-Original,"Emeryville, CA, USA","$46,000
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
1999 Mercedes-Benz SL500,"35,000 mi · Automatic · LHD · Restored-Original","Moonachie, NJ, USA","$16,250
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
