"
      1971 Datsun 240Z 4-Speed
    ","
      TMU · Manual · LHD · Restored-Modified
    ","The Village, OK, USA","
        
  
  
  
    
      
        $30,850
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 23, 2022
  "
"
      1996 Nissan 300ZX Twin Turbo Commemorative Edition
    ","
      83,000 mi   · Automatic · LHD · Original & Highly Original
    ","Carrollton, TX, USA","
        
  
  
  
    
      
        $29,500
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 23, 2022
  "
"
      2003 Nissan 350Z Touring Coupe
    ","
      32,000 mi   · Manual · LHD · Modified
    ","Gig Harbor, WA, USA","
        
  
  
  
    
      
        $13,100
      
    

    SOLD
  








        
        ","
  Cars & Bids

  ","
    Auction
  ","
    Nov 22, 2022
  "
"
      1972 Datsun 240Z
    ","
      24,141 mi   · Manual · LHD · Restored-Original
    ","Uden, NLD","
        
  
  
  
    
      
        €38,750
      
    

    SOLD
  








        
        ","
  The Market by Bonhams

  ","
    Auction
  ","
    Nov 21, 2022
  "
"
      1984 Nissan 300ZX Turbo 5-Speed
    ","
      58,000 mi   · Manual · LHD · Original & Highly Original
    ","Oswego, IL, USA","
        
  
  
  
    
      
        $15,690
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 25, 2022
  "
"
      1990 Nissan 300ZX Twin Turbo 5-Speed
    ","
      108,000 mi   · Manual · LHD · Restomod & Custom
    ","Seattle, WA, USA","
        
  
  
  
    
      
        $33,500
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 25, 2022
  "
"
      1977 Datsun 280Z 2+2
    ","
      92,000 mi   · Automatic · LHD · Restored-Original
    ","Edmond, OK, USA","
        
  
  
  
    
      
        $9,250
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 25, 2022
  "
"
      1974 Datsun 260Z 6-Speed
    ","
      TMU · Manual · LHD · Restomod & Custom
    ","Toronto, ON, CAN","
        
  
  
  
    
      
        $95,000
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 25, 2022
  "
"
      1976 Datsun 280Z
    ","
      TMU · Manual · LHD · Unable to Determine
    ","Glendale, CA, USA","
        
  
  
  
    

    SOLD
  








        
        ","
  Vintage Car Collector

  ","
    Fixed-price
  ","
    Nov 20, 2022
  "
"
      1990 Nissan 300ZX 5-Speed
    ","
      20,000 mi   · Manual · LHD · Original & Highly Original
    ","Alamance County, NC, USA","
        
  
  
  
    
      
        $18,750
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 26, 2022
  "
"
      1990 Nissan 300ZX 2+2 5-Speed
    ","
      145,000 mi   · Manual · LHD · Restored-Original
    ","Lakeville, MN, USA","
        
  
  
  
    
      
        $7,600
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 18, 2022
  "
"
      1977 Datsun 280Z
    ","
      TMU · Automatic · LHD · Restomod & Custom
    ","Walla Walla, WA, USA","
        
  
  
  
    
      
        $18,150
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 18, 2022
  "
"
      2004 Nissan 350Z Touring 6-Speed
    ","
      13,000 mi   · Manual · LHD · Original & Highly Original
    ","Tampa, FL, USA","
        
  
  
  
    
      
        $19,750
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 17, 2022
  "
"
      1970 Datsun 240Z
    ","
      TMU · Manual · LHD · Restored-Original
    ","Englewood, CO, USA","
        
  
  
  
    
      
        $49,950
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 16, 2022
  "
"
      1972 Datsun 240Z
    ","
      73,000 mi   · Manual · LHD · Restored-Original
    ","Fayetteville, NC, USA","
        
  
  
  
    
      
        $20,500
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 15, 2022
  "
"
      1983 Datsun 280ZX 2+2 Turbo
    ","
      78,199 mi   · Automatic · LHD · Original & Highly Original
    ","Dearborn, MI, USA","
        
  
  
  
    
      
        $26,000
      
    

    SOLD
  








        
        ","
  Gateway Classic Cars

  ","
    Fixed-price
  ","
    Nov 14, 2022
  "
"
      1991 Nissan 300ZX Twin Turbo 5-Speed
    ","
      136,000 mi   · Manual · LHD · Modified
    ","Wernersville, PA, USA","
        
  
  
  
    
      
        $17,500
      
    

    SOLD
  








        
        ","
  Bring a Trailer

  ","
    Auction
  ","
    Nov 13, 2022
  "
