2014 Porsche 911 Carrera S,"29,132 mi · Automatic · LHD · Original & Highly Original","Bellevue, WA, USA",SOLD,Park Place LTD,Fixed-price,"Nov 27, 2022"
2002 Porsche 911 Carrera,"8,292 mi · Manual · LHD · Original & Highly Original","Bellevue, WA, USA",SOLD,Park Place LTD,Fixed-price,"Nov 23, 2022"
2022 Porsche 911 GT3 Touring,133 mi · Manual · LHD · Original & Highly Original,"Elkhart Lake, WI, USA",SOLD,The Throttlestop,Fixed-price,"Nov 23, 2022"
2022 Porsche 911 Turbo,"1,863 mi · Automatic · LHD · Original & Highly Original","Elkhart Lake, WI, USA",SOLD,The Throttlestop,Fixed-price,"Nov 23, 2022"
1996 Porsche 911 Carrera Cabriolet,"52,985 mi · Manual · LHD · Original & Highly Original","Durham, NC, USA",SOLD,Modern Classic Motorcars,Fixed-price,"Nov 23, 2022"
1974 Porsche 911 Carrera 2.7 MFI Coupe,"94,833 km (58,926 mi) · Manual · LHD · Restored-Original","Town of North Salem, NY, USA","$195,000
SOLD",Bring a Trailer,Auction,"Nov 23, 2022"
2005 Porsche 911 (996) Turbo S,"60,063 mi · Manual · RHD · Original & Highly Original","Buckinghamshire, GBR","£58,500
SOLD",Collecting Cars,Auction,"Nov 23, 2022"
2002 Porsche 911 (996) Carrera 4S,"53,932 mi · Manual · RHD · Original & Highly Original","Rushmoor, GBR","£27,055
SOLD",Collecting Cars,Auction,"Nov 23, 2022"
2021 Porsche 911 (992) Turbo S,"3,546 mi · Automatic · RHD · Original & Highly Original","Bristol, GBR","£169,700
SOLD",Collecting Cars,Auction,"Nov 23, 2022"
1985 Porsche 911 Carrera Targa,"92,140 mi · Manual · LHD · Original & Highly Original","Cupertino, CA, USA","$62,000
SOLD",Bring a Trailer,Auction,"Nov 23, 2022"
2002 Porsche 911 Carrera Coupe,"55,191 mi · Manual · LHD · Modified","Sewickley, PA, USA","$29,500
SOLD",Cars & Bids,Auction,"Nov 23, 2022"
2018 Porsche 991.2 Carrera GTS,"8,105 mi · Automatic · LHD · Original & Highly Original","Pennington, NJ, USA","$114,500
SOLD",PCARMARKET,Auction,"Nov 23, 2022"
1991 Porsche 964 Carrera 4 Coupe 5-Speed,"76,345 mi · Manual · LHD · Original & Highly Original","Colchester, CT, USA","$87,000
SOLD",PCARMARKET,Auction,"Nov 23, 2022"
1990 Porsche 911 Carrera 4 Cabriolet 5-Speed,TMU · Manual · LHD · Original & Highly Original,"Saint Louis, MO, USA","$66,000
SOLD",Bring a Trailer,Auction,"Nov 23, 2022"
2018 Porsche 911 GT3 6-Speed,"19,294 mi · Manual · LHD · Original & Highly Original","Lemon Grove, CA, USA","$176,000
SOLD",Bring a Trailer,Auction,"Nov 23, 2022"
2002 Porsche 911 Carrera 4 Cabriolet 6-Speed,"98,898 mi · Manual · LHD · Original & Highly Original","Savannah, GA, USA","$30,000
SOLD",Bring a Trailer,Auction,"Nov 23, 2022"
1993 Porsche 911 RS America,"55,787 mi · Manual · LHD · Modified","Pompano Beach, FL, USA","$150,000
SOLD",Bring a Trailer,Auction,"Nov 23, 2022"
2015 Porsche 911 Carrera S Coupe,"10,393 mi · Automatic · LHD · Project","Los Angeles, CA, USA",SOLD,Beverly Hills Car Club,Fixed-price,"Nov 23, 2022"
2018 Porsche 911 (991.2) GT3 Touring,"13,815 mi · Manual · RHD · Original & Highly Original","Surrey, GBR","£169,500
SOLD",Collecting Cars,Auction,"Nov 22, 2022"
1993 Porsche 911 (964) Turbo 3.6 - RUF 3.8 BTR,"78,569 km (48,820 mi) · Manual · LHD · Restomod & Custom","Poole, GBR","£205,888
SOLD",Collecting Cars,Auction,"Nov 22, 2022"
1971 Porsche 911E 2.2,"151,585 km (94,191 mi) · Manual · LHD · Restored-Modified","Cotswold District, GBR","£53,000
SOLD",Collecting Cars,Auction,"Nov 22, 2022"
2001 Porsche 911 Turbo Coupe,"64,573 mi · Automatic · LHD · Modified","Auburn, CA, USA","$50,000
SOLD",Cars & Bids,Auction,"Nov 22, 2022"
2014 Porsche 911 50th Anniversary,"47,907 mi · Automatic · LHD · Original & Highly Original","Sonoma, CA, USA","$88,750
SOLD",PCARMARKET,Auction,"Nov 22, 2022"
1977 Porsche 911 Carrera Custom 3.5L Twin-Plug,361 km (224 mi) · Manual · LHD · Restomod & Custom,"Woodbridge, ON, CAN","$250,000
SOLD",PCARMARKET,Auction,"Nov 22, 2022"
2016 Porsche 991 Targa 4S,"8,453 mi · Automatic · LHD · Original & Highly Original","DeLand, FL, USA","$127,000
SOLD",PCARMARKET,Auction,"Nov 22, 2022"
1996 Porsche 993 Targa 6-Speed,"69,096 mi · Manual · LHD · Original & Highly Original","San Luis Obispo County, CA, USA","$73,500
SOLD",PCARMARKET,Auction,"Nov 22, 2022"
1991 Porsche 911 Carrera 2 Targa 5-Speed,"111,655 mi · Manual · LHD · Original & Highly Original","Costa Mesa, CA, USA","$82,000
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
1985 Porsche 911 Carrera Targa Project,TMU · Manual · LHD · Project,"Berkeley, CA, USA","$27,000
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
1977 Porsche 911S Coupe,"82,235 mi · Manual · LHD · Restored-Original","North Port, FL, USA","$62,500
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
2016 Porsche 911 Carrera GTS Cabriolet,"40,933 mi · Automatic · LHD · Original & Highly Original","Village of Tuxedo Park, NY, USA","$95,500
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
1974 Porsche 911 Coupe 3.6L,TMU · Manual · LHD · Restomod & Custom,"San Diego, CA, USA","$195,000
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
2010 Porsche 911 Carrera 4S Coupe 6-Speed,"36,331 mi · Manual · LHD · Original & Highly Original","South Pasadena, CA, USA","$70,000
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
2002 Porsche 911 Carrera Coupe 4.0L 6-Speed,"76,575 mi · Manual · LHD · Modified","Westlake, MD, USA","$37,000
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
2002 Porsche 911 Carrera Coupe 6-Speed,"61,523 mi · Manual · LHD · Original & Highly Original","Wichita, KS, USA","$31,750
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
1987 Porsche 911 Carrera Cabriolet,"60,764 mi · Manual · LHD · Modified","Marietta, GA, USA",SOLD,Collectible Motor Car of Atlanta,Fixed-price,"Nov 24, 2022"
2007 Porsche 911 Carrera S,"27,384 mi · Manual · LHD · Original & Highly Original","Bellevue, WA, USA",SOLD,Park Place LTD,Fixed-price,"Nov 24, 2022"
1966 Porsche 912 SWB,TMU · Manual · LHD · Restored-Original,"Jablonec nad Nisou, CZE","€41,000
SOLD",Auctomobile,Fixed-price,"Nov 24, 2022"
1973 Porsche 911T Targa,TMU · Manual · LHD · Project,Austria,"€36,000
SOLD",Catawiki,Auction,"Nov 24, 2022"
2010 Porsche 911 (997.2) GT2 RS,"8,762 mi · Manual · LHD · Original & Highly Original","Mid Sussex District, GBR","£259,000
SOLD",Collecting Cars,Auction,"Nov 24, 2022"
1996 Porsche 911 Turbo,TMU · Manual · LHD · Restored-Original,"Lake Forest, IL, USA","$173,000
SOLD",Bring a Trailer,Auction,"Nov 24, 2022"
2022 Porsche 911 GT3 Touring 6-Speed,100 mi · Manual · LHD · Original & Highly Original,"Phoenix, AZ, USA","$312,000
SOLD",Bring a Trailer,Auction,"Nov 24, 2022"
2000 Porsche 911 (996) Carrera Cabriolet,"34,529 mi · Manual · RHD · Original & Highly Original","Northampton, GBR","£16,785
SOLD",Collecting Cars,Auction,"Nov 21, 2022"
1983 Porsche 911 SC - Straat 3.0L,TMU · Manual · LHD · Restomod & Custom,"Chelmsford, GBR","£147,000
SOLD",Collecting Cars,Auction,"Nov 21, 2022"
2011 Porsche 911 (997.2) Carrera GTS Cabriolet,"40,216 mi · Automatic · RHD · Original & Highly Original","London, GBR","£50,650
SOLD",Collecting Cars,Auction,"Nov 21, 2022"
2019 Porsche 991.2 Carrera GTS 7-Speed,"2,061 mi · Manual · LHD · Original & Highly Original","Boulder, CO, USA","$126,000
SOLD",PCARMARKET,Auction,"Nov 21, 2022"
1998 Porsche 993 Carrera S,"21,599 mi · Manual · LHD · Original & Highly Original","Largo, FL, USA","$150,500
SOLD",PCARMARKET,Auction,"Nov 21, 2022"
1993 Porsche 911 Carrera 4 Targa 5-Speed,"117,315 mi · Manual · LHD · Original & Highly Original","Portland, OR, USA","$81,000
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
1998 Porsche 911 Carrera Cabriolet 6-Speed,TMU · Manual · LHD · Original & Highly Original,"Atlantic Beach, FL, USA","$72,500
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
2013 Porsche 911 Carrera 4 Cabriolet 7-Speed,"65,975 mi · Manual · LHD · Original & Highly Original","Town of Huntington, NY, USA","$59,500
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
1987 Porsche 911 Carrera Targa G50,"72,399 mi · Manual · LHD · Restored-Modified","Sacramento County, CA, USA","$58,000
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
2019 Porsche 911 GT3 RS Weissach,"11,070 km (6,879 mi) · Automatic · LHD · Original & Highly Original","Old Toronto, ON, CAN","$235,000
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
2004 Porsche 911 Turbo Cabriolet 6-Speed,"26,628 mi · Manual · LHD · Modified","Belton, MO, USA","$60,996
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
1992 Porsche 911 Carrera RS,"15,638 km (9,717 mi) · Manual · LHD · Original & Highly Original","Durham, NC, USA","$469,999
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
2003 Porsche 911 GT2,"9,698 mi · Manual · LHD · Original & Highly Original","Los Angeles, CA, USA",SOLD,Fusion Luxury Motors,Fixed-price,"Nov 25, 2022"
2002 Porsche 911 GT2,"10,963 mi · Manual · LHD · Original & Highly Original","North Andover, MA, USA",SOLD,Silverstone Motorcars,Fixed-price,"Nov 25, 2022"
1975 Porsche 911S Targa,"83,431 mi · Manual · LHD · Unable to Determine","San Jose, CA, USA",SOLD,American Motors Custom & Classics,Fixed-price,"Nov 21, 2022"
1993 Porsche 911 Turbo 3.6,"83,352 km (51,793 mi) · Manual · LHD · Original & Highly Original","Blaine, WA, USA","$380,000
SOLD",Bring a Trailer,Auction,"Nov 25, 2022"
1973 Porsche 911T Targa,"64,680 mi · Manual · LHD · Restored-Modified","Windsor, CO, USA","$51,000
SOLD",Bring a Trailer,Auction,"Nov 25, 2022"
2005 Porsche 911 Turbo S Coupe 6-Speed,"103,221 mi · Manual · LHD · Original & Highly Original","Watkinsville, GA, USA","$68,996
SOLD",Bring a Trailer,Auction,"Nov 25, 2022"
2015 Porsche 911 Targa 4,"39,400 mi · Automatic · LHD · Original & Highly Original","Westport, CT, USA","$80,000
SOLD",Cars & Bids,Auction,"Nov 25, 2022"
2000 Porsche 911 Carrera Coupe 6-Speed,"98,327 mi · Manual · LHD · Original & Highly Original","Elgin, IL, USA","$23,077
SOLD",Bring a Trailer,Auction,"Nov 25, 2022"
2005 Porsche 911 Carrera Coupe 6-Speed,"97,590 mi · Manual · LHD · Original & Highly Original","Sugar Grove, IL, USA","$35,299
SOLD",Bring a Trailer,Auction,"Nov 25, 2022"
2019 Porsche 911 GT2 RS Weissach,"3,727 mi · Automatic · LHD · Original & Highly Original","Los Angeles, CA, USA","$475,000
SOLD",Bring a Trailer,Auction,"Nov 25, 2022"
1980 Porsche 911SC,TMU · Manual · LHD · Restomod & Custom,"Nashua, NH, USA","$51,000
SOLD",Bring a Trailer,Auction,"Nov 25, 2022"
1984 Porsche 911 Carrera Coupe,"68,392 mi · Manual · LHD · Restored-Original","Columbus, IN, USA","$58,750
SOLD",Bring a Trailer,Auction,"Nov 25, 2022"
2016 Porsche 911 Carrera 4S Coupe 7-Speed,"32,389 mi · Manual · LHD · Original & Highly Original","Tipp City, OH, USA","$88,500
SOLD",Bring a Trailer,Auction,"Nov 25, 2022"
2022 Porsche 911 Carrera 4S Coupe,"1,685 mi · Automatic · LHD · Original & Highly Original","North Merrick, NY, USA","$150,000
SOLD",Bring a Trailer,Auction,"Nov 25, 2022"
2016 Porsche 991 GT3 RS,"2,439 mi · Automatic · LHD · Original & Highly Original","Bedford County, PA, USA","$215,226
SOLD",PCARMARKET,Auction,"Nov 25, 2022"
1992 Porsche 911 Turbo,"115,945 km (72,045 mi) · Manual · LHD · Original & Highly Original","London, ON, CAN","$171,000
SOLD",Bring a Trailer,Auction,"Nov 25, 2022"
