1991 Toyota Land Cruiser FJ80,"118,919 mi · Automatic · LHD · Original & Highly Original","La Vergne, TN, USA",SOLD,Streetside Classics,Fixed-price,"Nov 27, 2022"
1987 Toyota HJ61 Landcruiser 'Sahara',"468,606 km (291,178 mi) · Automatic · RHD · Original & Highly Original","Launceston, TAS, AUS","AUD32,098
SOLD",Collecting Cars,Auction,"Nov 23, 2022"
1986 Toyota Land Cruiser FJ60 4-Speed,"149,000 mi · Manual · LHD · Restored-Original","Turnerville, WY, USA","$26,000
SOLD",Bring a Trailer,Auction,"Nov 23, 2022"
1997 Toyota Land Cruiser FZJ80 Collector’s Edition,"192,000 mi · Automatic · LHD · Original & Highly Original","Fredericksburg, VA, USA","$30,500
SOLD",Bring a Trailer,Auction,"Nov 23, 2022"
1969 Toyota Land Cruiser FJ40,TMU · Manual · LHD · Restored-Original,"Eldersburg, MD, USA","$25,250
SOLD",Marqued,Auction,"Nov 22, 2022"
1972 Toyota Land Cruiser FJ55,TMU · Manual · LHD · Restomod & Custom,"Berkeley, CA, USA","$18,250
SOLD",Bring a Trailer,Auction,"Nov 22, 2022"
1969 Toyota FJ 40 Landcruiser,"21,877 mi · Manual · LHD · Restored-Modified","Traverse City, MI, USA",SOLD,GR Auto Gallery,Fixed-price,"Nov 24, 2022"
1986 Toyota Land Cruiser HJ61 5-Speed,TMU · Manual · LHD · Restored-Original,"Denver, CO, USA","$19,050
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
1984 Toyota Land Cruiser FJ40,TMU · Manual · LHD · Restored-Original,"Brownsburg, IN, USA","$66,500
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
1993 Toyota Land Cruiser FZJ70 4X4,"144,200 km (89,602 mi) · Manual · LHD · Restomod & Custom","Miami, FL, USA","$24,500
SOLD",Cars & Bids,Auction,"Nov 25, 2022"
2003 Toyota Land Cruiser,"155,600 mi · Automatic · LHD · Original & Highly Original","Marblehead, MA, USA","$9,150
SOLD",Cars & Bids,Auction,"Nov 25, 2022"
1970 Toyota Land Cruiser FJ43 4-Speed,TMU · Manual · LHD · Restored-Original,"Crestview, FL, USA","$25,550
SOLD",Bring a Trailer,Auction,"Nov 20, 2022"
1985 Toyota Land Cruiser FJ60 4-Speed,"87,000 mi · Manual · LHD · Restored-Original","Vestavia Hills, AL, USA","$23,500
SOLD",Bring a Trailer,Auction,"Nov 19, 2022"
1989 Toyota Land Cruiser FJ-62,"145,564 mi · Automatic · LHD · Restored-Original","Grand Rapids, MI, USA",SOLD,GR Auto Gallery,Fixed-price,"Nov 19, 2022"
1976 Toyota FJ40 Land Cruiser,"126,830 km (78,808 mi) · Manual · RHD · Original & Highly Original","Melbourne, VIC, AUS","AUD40,020
SOLD",Collecting Cars,Auction,"Nov 18, 2022"
1982 Toyota Land Cruiser FJ43,"198,000 km (123,031 mi) · Manual · LHD · Restored-Modified","Austin, TX, USA","$36,000
SOLD",Bring a Trailer,Auction,"Nov 18, 2022"
1996 Toyota Land Cruiser FZJ80,"211,000 mi · Automatic · LHD · Restored-Original","Portland, USA","$23,500
SOLD",Bring a Trailer,Auction,"Nov 18, 2022"
1997 Toyota Land Cruiser VX FZJ80 5-Speed,"69,000 km (42,875 mi) · Manual · LHD · Original & Highly Original","Canton, GA, USA","$127,500
SOLD",Bring a Trailer,Auction,"Nov 18, 2022"
2003 Toyota Land Cruiser,"184,400 mi · Automatic · LHD · Original & Highly Original","Marblehead, MA, USA","$14,600
SOLD",Cars & Bids,Auction,"Nov 17, 2022"
1976 Toyota Land Cruiser FJ40,TMU · Automatic · LHD · Restomod & Custom,"Denver, CO, USA",SOLD,Worldwide Vintage Autos,Fixed-price,"Nov 17, 2022"
1976 Toyota FJ40,TMU · Manual · LHD · Project,"Fredericksburg, TX, USA",SOLD,Street Dreams Texas,Fixed-price,"Nov 17, 2022"
1984 Toyota Land Cruiser FJ45 Pickup 4X4,"332,300 km (206,482 mi) · Manual · LHD · Restored-Modified","Miami Beach, FL, USA","$43,000
SOLD",Cars & Bids,Auction,"Nov 16, 2022"
1997 Toyota Land Cruiser FZJ80,"175,000 mi · Automatic · LHD · Modified","Wilmington, NC, USA","$51,500
SOLD",Bring a Trailer,Auction,"Nov 16, 2022"
1984 Toyota Land Cruiser FJ60 4-Speed,"302,000 mi · Manual · LHD · Modified","Dallas, TX, USA","$20,000
SOLD",Bring a Trailer,Auction,"Nov 16, 2022"
1977 Toyota Land Cruiser FJ40,TMU · Manual · LHD · Restored-Original,"Town of Clarence, NY, USA","$34,000
SOLD",Bring a Trailer,Auction,"Nov 16, 2022"
1977 Toyota FJ40,TMU · Manual · LHD · Restored-Modified,"Denver, CO, USA",SOLD,Worldwide Vintage Autos,Fixed-price,"Nov 16, 2022"
1982 Toyota Land Cruiser FJ40 Truck,TMU · Manual · LHD · Restomod & Custom,"Eldersburg, MD, USA","$22,750
SOLD",Marqued,Auction,"Nov 15, 2022"
1973 Toyota FJ40 Land Cruiser,"121,441 km (75,460 mi) · Manual · LHD · Original & Highly Original","Byron Bay, NSW, AUS","AUD30,000
SOLD",Collecting Cars,Auction,"Nov 15, 2022"
