1979 Volkswagen Super Beetle Convertible,911 mi · Manual · LHD · Original & Highly Original,"Tempe, AZ, USA",SOLD,Canyon State Classics,Fixed-price,"Nov 27, 2022"
1972 Volkswagen Super Beetle,TMU · Manual · LHD · Restored-Modified,"Mesa, AZ, USA",SOLD,Streetside Classics,Fixed-price,"Nov 27, 2022"
1972 Volkswagen Beetle Cabriolet 1302 LS,TMU · Manual · LHD · Restored-Original,"Uden, NLD","€13,300
SOLD",The Market by Bonhams,Auction,"Nov 21, 2022"
1977 Volkswagen Beetle,137 mi · Manual · LHD · Original & Highly Original,"Lake County, FL, USA","$51,000
SOLD",Bring a Trailer,Auction,"Nov 21, 2022"
1974 Volkswagen Super Beetle,TMU · Manual · LHD · Restored-Modified,"Columbus, OH, USA",SOLD,Cruisin Classics,Fixed-price,"Nov 25, 2022"
1979 Volkswagen Beetle Cabriolet,TMU · Manual · LHD · Restored-Original,"Munich, DEU","€16,500
SOLD",Collecting Cars,Auction,"Nov 25, 2022"
1977 Volkswagen Beetle Karmann Convertible,TMU · Manual · LHD · Restored-Original,"Rowley, MA, USA",SOLD,Legendary Motors LLC,Fixed-price,"Nov 20, 2022"
1979 Volkswagen Super Beetle Cabriolet,911 mi · Manual · LHD · Original & Highly Original,"Tempe, AZ, USA","$71,000
SOLD",Bring a Trailer,Auction,"Nov 26, 2022"
"1974 Volkswagen Beetle ""Baja Bug""",TMU · Manual · LHD · Restomod & Custom,"Medley, FL, USA","$8,000
SOLD",Hemmings,Fixed-price,"Nov 26, 2022"
1965 Volkswagen Beetle,TMU · Manual · LHD · Restored-Modified,"Sleepy Valley, CA, USA","$39,999
SOLD",Bring a Trailer,Auction,"Nov 19, 2022"
1968 Volkswagen Beetle,TMU · Manual · LHD · Restored-Modified,"Fitchburg, WI, USA",SOLD,Auto Handler Boutique,Fixed-price,"Nov 19, 2022"
1979 Volkswagen Super Beetle Convertible,"22,000 mi · Manual · LHD · Original & Highly Original","Maple Lake, WV, USA","$20,500
SOLD",Bring a Trailer,Auction,"Nov 18, 2022"
1972 Volkswagen Beetle 1200 jäGermeister,TMU · Manual · LHD · Restored-Original,Netherlands,"€5,832
SOLD",Catawiki,Auction,"Nov 17, 2022"
1966 Volkswagen Beetle 1.6L,TMU · Manual · LHD · Restored-Modified,"Mono County, CA, USA","$13,750
SOLD",Bring a Trailer,Auction,"Nov 13, 2022"
1970 Volkswagen Beetle,TMU · Manual · LHD · Restored-Original,"Elkhart County, IN, USA",SOLD,Rock Solid Motorsports Inc,Fixed-price,"Nov 13, 2022"
2003 Volkswagen Beetle Sedán úLtima Edición,685 km (426 mi) · Manual · LHD · Original & Highly Original,"Birmingham, GBR","£23,625
SOLD",Silverstone (UK),Auction,"Nov 12, 2022"
1974 Volkswagen Super Beetle,TMU · Manual · LHD · Restored-Original,"Las Vegas, NV, USA","$10,450
SOLD",Mecum,Auction,"Nov 11, 2022"
1973 Volkswagen Super Beetle Convertible,"71,000 mi · Manual · LHD · Original & Highly Original","Waterford, WI, USA","$14,000
SOLD",Bring a Trailer,Auction,"Nov 11, 2022"
1953 Volkswagen Beetle,TMU · Manual · LHD · Restored-Modified,"Pembroke Pines, FL, USA","$19,400
SOLD",Bring a Trailer,Auction,"Nov 11, 2022"
1979 Volkswagen Super Beetle Cabriolet,190 mi · Manual · LHD · Original & Highly Original,"Twinsburg, OH, USA","$90,000
SOLD",Bring a Trailer,Auction,"Nov 11, 2022"
1966 Volkswagen Beetle Ragtop,TMU · Manual · LHD · Restored-Original,"Tampa, FL, USA",SOLD,Streetside Classics,Fixed-price,"Nov 11, 2022"
1957 Volkswagen Beetle,TMU · Manual · LHD · Restored-Original,"Atlanta, GA, USA",SOLD,Motorcar Studio,Fixed-price,"Nov 11, 2022"
