2021 BMW R1250 GS te Triple Black,959 mi,"Stroud, GBR","£17,050
SOLD",Collecting Cars,Auction,"Nov 18, 2022"
1991 BMW R100GS,"27,000 mi","Lewisville, TX, USA","$7,000
SOLD",Bring a Trailer,Auction,"Nov 17, 2022"
1966 BMW R27 w/Duna Sidecar,TMU,"Kingfield, USA","$14,500
SOLD",Bring a Trailer,Auction,"Nov 15, 2022"
1968 BMW R69S,TMU,"Toledo, OH, USA","$27,000
SOLD",Bring a Trailer,Auction,"Nov 14, 2022"
1984 BMW R80G/S,"7,000 mi","Portland, OR, USA","$15,500
SOLD",Bring a Trailer,Auction,"Nov 13, 2022"
1968 BMW R50/2,"18,000 mi","Omaha, NE, USA","$9,500
SOLD",Bring a Trailer,Auction,"Nov 13, 2022"
1981 BMW R65 650CC,TMU,"Birmingham, GBR","£2,025
SOLD",Silverstone (UK),Auction,"Nov 13, 2022"
1954 BMW R51/3 494CC,TMU,"Birmingham, GBR","£9,337
SOLD",Silverstone (UK),Auction,"Nov 13, 2022"
"2017 BMW R Nine T Racer S 1,170CC",TMU,"Birmingham, GBR","£9,450
SOLD",Silverstone (UK),Auction,"Nov 13, 2022"
1995 BMW K75RT Abs,"18,000 mi","City of Saginaw, MI, USA","$3,200
SOLD",Bring a Trailer,Auction,"Nov 10, 2022"
1967 BMW R60/2,TMU,"Town of Newfield, NY, USA","$17,000
SOLD",Bring a Trailer,Auction,"Nov 10, 2022"
1954 BMW R51/3,TMU,"Shelton, CT, USA","$20,000
SOLD",Bring a Trailer,Auction,"Nov 10, 2022"
2015 BMW R Ninet,"9,000 mi","Dublin, OH, USA","$8,200
SOLD",Bring a Trailer,Auction,"Nov 9, 2022"
1978 BMW R80/7,"29,000 mi","Vacaville, CA, USA","$4,600
SOLD",Bring a Trailer,Auction,"Nov 9, 2022"
1969 BMW R69US,TMU,"Victoria, BC, CAN","$15,750
SOLD",Bring a Trailer,Auction,"Nov 7, 2022"
1975 BMW R90S,"57,000 mi","Longmont, CO, USA","$11,750
SOLD",Bring a Trailer,Auction,"Nov 2, 2022"
