1974 BMW 3.0CS 4-Speed,"58,000 km (36,040 mi) · Manual · LHD · Restored-Original","Town of North Salem, NY, USA","$102,000
SOLD",Bring a Trailer,Auction,"Nov 7, 2022"
1972 BMW 3.0 CSI,TMU · Manual · LHD · Restored-Modified,"Bellevue, WA, USA",SOLD,Park Place LTD,Fixed-price,"Nov 4, 2022"
1973 BMW 3.0CSI,TMU · Manual · LHD · Restored-Original,"Portland, OR, USA",SOLD,Avant Garde Collection,Fixed-price,"Nov 3, 2022"
1974 BMW 3.0CS 4-Speed,TMU · Manual · LHD · Restored-Original,"Missoula, MT, USA","$77,500
SOLD",Bring a Trailer,Auction,"Nov 2, 2022"
1973 BMW 3.0CSI 5-Speed,TMU · Manual · LHD · Restored-Original,"Portland, OR, USA","$78,500
SOLD",Bring a Trailer,Auction,"Oct 31, 2022"
1975 BMW 3.0 CSI Coupe,TMU · Manual · RHD · Restored-Original,"Maidstone, GBR","£52,500
SOLD",Collecting Cars,Auction,"Oct 30, 2022"
1973 BMW 3.0CS 5-Speed,TMU · Manual · LHD · Restored-Modified,"Huntington Beach, CA, USA","$146,000
SOLD",Bring a Trailer,Auction,"Oct 25, 2022"
1972 BMW 3.0CSI,TMU · Manual · LHD · Restored-Original,"Paris, FRA","$74,500
SOLD",Bring a Trailer,Auction,"Oct 23, 2022"
1974 BMW 3.0 CSI,Manual · RHD · Restored-Original,"Cambridgeshire, GBR","£52,875
SOLD",H&H Auctioneers UK,Auction,"Oct 19, 2022"
1973 BMW 3.0CSI 4-Speed,TMU · Manual · LHD · Restored-Original,"Burbank, CA, USA","$165,000
SOLD",Bring a Trailer,Auction,"Oct 14, 2022"
1972 BMW 3.0CS Coupe,"50,078 km (31,117 mi) · Automatic · LHD · Restored-Original",Norway,"€27,001
SOLD",Catawiki,Auction,"Sep 29, 2022"
1973 BMW Bavaria 4-Speed,"97,000 mi · Manual · LHD · Original & Highly Original","Suncook, NH, USA","$25,500
SOLD",Bring a Trailer,Auction,"Sep 27, 2022"
1973 BMW 3.0CSI,TMU · Manual · LHD · Restored-Original,"Harderwijk, NLD","$140,000
SOLD",Bring a Trailer,Auction,"Sep 21, 2022"
1973 BMW 3.0CS,TMU · Automatic · LHD · Restored-Original,"Monte Rio, CA, USA","$58,260
SOLD",Bring a Trailer,Auction,"Sep 17, 2022"
