2010 BMW 128I,"95,000 mi · Manual · LHD · Original & Highly Original","Las Vegas, NV, USA","$5,500
SOLD",Mecum,Auction,"Nov 10, 2022"
2011 BMW 1M,"31,200 mi · Manual · LHD · Original & Highly Original","Ellicott City, MD, USA","$65,500
SOLD",Cars & Bids,Auction,"Nov 7, 2022"
2011 BMW 135I Coupe,TMU · Automatic · LHD · Modified,"Kent County, MI, USA","$52,135
SOLD",Bring a Trailer,Auction,"Nov 5, 2022"
2011 BMW 1M,"42,000 mi · Manual · LHD · Original & Highly Original","Mountainside, NJ, USA","$59,111
SOLD",Bring a Trailer,Auction,"Nov 2, 2022"
2013 BMW 135IS Coupe 6-Speed,"70,000 mi · Manual · LHD · Original & Highly Original","Moline, IL, USA","$22,250
SOLD",Bring a Trailer,Auction,"Oct 30, 2022"
2011 BMW 1M,"19,000 mi · Manual · LHD · Original & Highly Original","Palm Beach County, FL, USA","$72,000
SOLD",Bring a Trailer,Auction,"Oct 23, 2022"
2011 BMW 1M,"10,000 mi · Manual · LHD · Original & Highly Original","South Pasadena, CA, USA","$87,000
SOLD",Bring a Trailer,Auction,"Oct 16, 2022"
2008 BMW 135I M Sport Coupe - 1M Styling,"98,500 km (61,205 mi) · Manual · LHD · Restomod & Custom","Falkenberg, SWE","€30,150
SOLD",Collecting Cars,Auction,"Oct 12, 2022"
2009 BMW 135I Coupe,"87,100 mi · Manual · LHD · Modified","Bothell, WA, USA","$18,070
SOLD",Cars & Bids,Auction,"Oct 7, 2022"
2013 BMW 128I Coupe,"42,000 mi · Automatic · LHD · Original & Highly Original","Rancho Cucamonga, CA, USA","$13,999
SOLD",Bring a Trailer,Auction,"Oct 4, 2022"
2011 BMW 1M Dinan,"25,061 mi · Manual · LHD · Modified","Murrieta, CA, USA",SOLD,West Coast Exotic Cars,Fixed-price,"Oct 3, 2022"
2013 BMW 128I Coupe,"98,800 mi · Manual · LHD · Original & Highly Original","Albuquerque, NM, USA","$13,050
SOLD",Cars & Bids,Auction,"Sep 26, 2022"
2013 BMW 128I Convertible,"19,000 mi · Automatic · LHD · Original & Highly Original","Northbrook, IL, USA","$22,000
SOLD",Bring a Trailer,Auction,"Sep 23, 2022"
2011 BMW 128I Coupe,"115,300 mi · Manual · LHD · Original & Highly Original","Stow, MA, USA","$12,500
SOLD",Cars & Bids,Auction,"Sep 19, 2022"
2013 BMW 128I 6-Speed,"28,000 mi · Manual · LHD · Original & Highly Original","Town of North Salem, NY, USA","$23,000
SOLD",Bring a Trailer,Auction,"Sep 18, 2022"
2012 BMW 128I,"84,500 mi · Automatic · LHD · Original & Highly Original","Bradenton, FL, USA",SOLD,Skyway Classics,Fixed-price,"Sep 15, 2022"
2011 BMW 1M,"41,000 mi · Manual · LHD · Original & Highly Original","Norfolk County, MA, USA","$63,350
SOLD",Bring a Trailer,Auction,"Sep 14, 2022"
2008 BMW 135I Convertible,"75,200 mi · Manual · LHD · Modified","Ottawa, ON, CAN","$9,700
SOLD",Cars & Bids,Auction,"Sep 9, 2022"
2013 BMW 128I Coupe M Sport 6-Speed,"87,000 mi · Manual · LHD · Original & Highly Original","Longmont, CO, USA","$16,555
SOLD",Bring a Trailer,Auction,"Sep 3, 2022"
2008 BMW 135I Coupe,"128,500 mi · Manual · LHD · Modified","Greensboro, NC, USA","$13,600
SOLD",Cars & Bids,Auction,"Sep 2, 2022"
2017 BMW M140I Shadow Edition,"31,922 mi · Automatic · RHD · Original & Highly Original","Oxford, GBR","£20,600
SOLD",Collecting Cars,Auction,"Aug 29, 2022"
2011 BMW 1M,"8,000 mi · Manual · LHD · Modified","Palm Beach County, FL, USA","$90,000
SOLD",Bring a Trailer,Auction,"Aug 28, 2022"
2012 BMW 1M Coupe,"48,989 km (30,440 mi) · Manual · RHD · Original & Highly Original","Perth, WA, AUS","AUD75,000
SOLD",Collecting Cars,Auction,"Aug 26, 2022"
2011 BMW 135I Convertible,"91,200 mi · Automatic · LHD · Original & Highly Original","Costa Mesa, CA, USA","$13,690
SOLD",Cars & Bids,Auction,"Aug 23, 2022"
2011 BMW 1M,"9,000 km (5,592 mi) · Manual · LHD · Original & Highly Original","Montreal, QC, CAN","$75,000
SOLD",Bring a Trailer,Auction,"Aug 14, 2022"
2011 BMW 1M,"42,000 mi · Manual · LHD · Original & Highly Original","Northbridge, MA, USA","$65,000
SOLD",Bring a Trailer,Auction,"Aug 11, 2022"
2011 BMW 1M,"21,000 mi · Manual · LHD · Original & Highly Original","Lake City, FL, USA","$75,000
SOLD",Bring a Trailer,Auction,"Aug 1, 2022"
2012 BMW 135I Dinan,"39,125 mi · Automatic · LHD · Modified","La Vergne, TN, USA",SOLD,Streetside Classics,Fixed-price,"Aug 1, 2022"
2013 BMW 135IS,"14,000 mi · Automatic · LHD · Original & Highly Original","Calabasas, CA, USA","$30,269
SOLD",Bring a Trailer,Auction,"Jul 30, 2022"
2008 BMW 135I Coupe,"60,600 mi · Manual · LHD · Modified","Fayetteville, GA, USA","$19,000
SOLD",Cars & Bids,Auction,"Jul 27, 2022"
