2005 BMW X5 4.8IS,"102,000 mi · Automatic · LHD · Original & Highly Original","Hurst, TX, USA","$18,850
SOLD",Bring a Trailer,Auction,"Nov 12, 2022"
2016 BMW X5 M,"42,823 mi · Automatic · LHD","Las Vegas, NV, USA","$55,000
SOLD",Mecum,Auction,"Nov 10, 2022"
2004 BMW X5 4.8IS,"21,000 mi · Automatic · LHD · Original & Highly Original","San Luis Obispo County, CA, USA","$30,777
SOLD",Bring a Trailer,Auction,"Nov 10, 2022"
2020 BMW X5 M50I,"12,237 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Nov 6, 2022"
2006 BMW X5 4.8IS,"86,200 mi · Automatic · LHD · Original & Highly Original","Dallas, TX, USA","$15,750
SOLD",Cars & Bids,Auction,"Nov 2, 2022"
2018 BMW X5 XDRIVE50I Luxury,"24,655 mi · Automatic · LHD · Original & Highly Original","Durham, NC, USA",SOLD,Modern Classic Motorcars,Fixed-price,"Oct 30, 2022"
2013 BMW X5 XDRIVE50I,"32,500 mi · Automatic · LHD · Original & Highly Original","Radnor Township, PA, USA","$23,755
SOLD",Cars & Bids,Auction,"Oct 19, 2022"
2010 BMW X5 M,Automatic · LHD · Original & Highly Original,"Chicago, IL, USA","$16,500
SOLD",Mecum,Auction,"Oct 15, 2022"
2002 BMW X5 4.4I,"140,000 mi · Automatic · LHD · Modified","Alamo, CA, USA","$12,121
SOLD",Cars & Bids,Auction,"Oct 13, 2022"
2006 BMW X5 4.4I,"80,300 mi · Automatic · LHD · Original & Highly Original","Savannah, GA, USA","$8,900
SOLD",Cars & Bids,Auction,"Oct 11, 2022"
2020 BMW X5 M Competition,"15,649 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Oct 4, 2022"
2004 BMW X5 3.0I,"148,300 mi · Manual · LHD · Original & Highly Original","Torrington, CT, USA","$11,100
SOLD",Cars & Bids,Auction,"Sep 27, 2022"
2005 BMW X5 4.8IS,"78,300 mi · Automatic · LHD · Original & Highly Original","Toronto, ON, CAN","$5,800
SOLD",Cars & Bids,Auction,"Sep 23, 2022"
2003 BMW X5 4.6IS,"97,700 mi · Automatic · LHD · Original & Highly Original","Sacramento, CA, USA","$8,200
SOLD",Cars & Bids,Auction,"Sep 9, 2022"
2018 BMW X5 XDRIVE35I,"35,762 mi · Automatic · LHD · Original & Highly Original","Middletown, CT, USA",SOLD,European Motorcars,Fixed-price,"Sep 7, 2022"
2016 BMW X5 M,"38,307 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Aug 31, 2022"
2013 BMW X5 XDRIVE35D,"75,500 mi · Automatic · LHD · Original & Highly Original","Fremont, CA, USA","$19,500
SOLD",Cars & Bids,Auction,"Aug 30, 2022"
2022 BMW X5 M50I,"9,995 mi · Automatic · LHD · Original & Highly Original","Village of Pewaukee, WI, USA",SOLD,Cassandra's Motorsports,Fixed-price,"Aug 18, 2022"
2002 BMW X5 Project,"167,499 mi · Automatic · LHD · Project","Prospect Heights, IL, USA","$900
SOLD",PCARMARKET,Auction,"Aug 15, 2022"
2017 BMW X5 XDRIVE50I,"32,400 mi · Automatic · LHD · Original & Highly Original","Sonoma, CA, USA","$37,777
SOLD",Cars & Bids,Auction,"Aug 9, 2022"
2017 BMW X5 M,"50,727 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Aug 6, 2022"
2022 BMW X5 XDRIVE40I,"13,600 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Aug 3, 2022"
2001 BMW X5 3.0I,"140,400 mi · Manual · LHD · Original & Highly Original","Sanford, FL, USA","$6,100
SOLD",Cars & Bids,Auction,"Aug 2, 2022"
2008 BMW X5,"77,000 mi · Automatic · LHD · Original & Highly Original","Harrisburg, PA, USA","$14,000
SOLD",Mecum,Auction,"Jul 28, 2022"
2015 BMW X5 XDRIVE35I,"76,700 mi · Automatic · LHD · Original & Highly Original","Palo Alto, CA, USA","$26,000
SOLD",Cars & Bids,Auction,"Jul 12, 2022"
2010 BMW X5,"82,000 mi · Automatic · LHD · Original & Highly Original","Orlando, FL, USA","$14,000
SOLD",Mecum,Auction,"Jul 7, 2022"
2005 BMW X5 3.0I,"186,700 mi · Manual · LHD · Modified","Holiday, FL, USA","$6,800
SOLD",Cars & Bids,Auction,"Jul 5, 2022"
2016 BMW X5 M,"76,429 mi · Automatic · LHD · Original & Highly Original","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Jun 19, 2022"
2006 BMW X5 4.8IS,"73,000 mi · Automatic · LHD · Original & Highly Original","Fairfax, VA, USA","$13,000
SOLD",Bring a Trailer,Auction,"Jun 16, 2022"
2012 BMW X5,"117,234 mi · Automatic · LHD · Original & Highly Original","Tulsa, OK, USA","$16,500
SOLD",Mecum,Auction,"Jun 9, 2022"
2006 BMW X5 4.4I,"75,000 mi · Automatic · LHD · Original & Highly Original","Los Angeles, CA, USA","$8,200
SOLD",Cars & Bids,Auction,"Jun 8, 2022"
2013 BMW X5 M,"67,000 mi · Automatic · LHD · Original & Highly Original","Fort Worth, TX, USA","$31,500
SOLD",Bring a Trailer,Auction,"Jun 4, 2022"
2002 BMW X5 3.0I,"29,000 mi · Automatic · LHD · Original & Highly Original","Walworth County, WI, USA","$17,750
SOLD",Bring a Trailer,Auction,"Jun 4, 2022"
2017 BMW X5 M,"36,598 mi · Automatic · LHD · Project","Akron, OH, USA",SOLD,Perfect Auto Collection,Fixed-price,"Jun 2, 2022"
