1996 Porsche 911 Carrera 4S Coupe 6-Speed,TMU · Manual · LHD · Modified,"Whatcom County, WA, USA","$98,000
SOLD",Bring a Trailer,Auction,"Aug 15, 2021"
1995 Porsche 911 Carrera Coupe Track Car,"118,000 mi · Manual · LHD · Modified","Conway, NH, USA","$55,993
SOLD",Bring a Trailer,Auction,"Aug 15, 2021"
2019 Porsche 911 GT3 RS,130 mi · Automatic · LHD · Original & Highly Original,"Monterey County, CA, USA","$247,500
SOLD",Mecum,Auction,"Aug 14, 2021"
1979 Porsche 930 Turbo,"80,200 mi · Manual · LHD · Original & Highly Original","Monterey County, CA, USA","$112,750
SOLD",Mecum,Auction,"Aug 14, 2021"
1989 Porsche 911 Speedster,"3,000 mi · Manual · LHD · Original & Highly Original","Monterey County, CA, USA","$214,500
SOLD",Mecum,Auction,"Aug 14, 2021"
1992 Porsche 911 Carrera Cup us,841 mi · Manual · LHD,"Monterey County, CA, USA","$330,000
SOLD",Mecum,Auction,"Aug 14, 2021"
1969 Porsche 911 S,"130,000 km (80,778 mi) · Manual · LHD · Original & Highly Original","Monterey County, CA, USA","$168,000
SOLD",RM Sotheby's,Auction,"Aug 14, 2021"
1987 Porsche 911 Turbo Cabriolet,"10,830 mi · Manual · LHD · Modified","Monterey County, CA, USA","$179,200
SOLD",RM Sotheby's,Auction,"Aug 14, 2021"
1989 Porsche 930 Slantnose Cabriolet,"34,000 mi · Manual · LHD · Original & Highly Original","Monterey County, CA, USA","$145,600
SOLD",Gooding & Company,Auction,"Aug 14, 2021"
2002 Porsche 911 GT2,"5,600 mi · Manual · LHD · Original & Highly Original","Monterey County, CA, USA","$220,000
SOLD",Mecum,Auction,"Aug 14, 2021"
1968 Porsche 911 R,TMU · Manual · LHD · Restored-Original,"Monterey County, CA, USA","$3,360,000
SOLD",RM Sotheby's,Auction,"Aug 14, 2021"
1992 Porsche 911 Carrera RS n/gt,"71,110 km (44,186 mi) · Manual · LHD · Modified","Monterey County, CA, USA","$357,000
SOLD",RM Sotheby's,Auction,"Aug 14, 2021"
1984 Porsche 911 Carrera 3.2,"105,588 mi · Manual · LHD · Original & Highly Original","Monterey County, CA, USA","$362,500
SOLD",RM Sotheby's,Auction,"Aug 14, 2021"
1972 Porsche 911T Targa,"79,805 mi · Manual · LHD · Restored-Original","Monterey County, CA, USA","$84,700
SOLD",Mecum,Auction,"Aug 14, 2021"
1972 Porsche 911T Targa,"82,101 mi · Manual · LHD · Restored-Modified","Monterey County, CA, USA","$52,800
SOLD",Mecum,Auction,"Aug 14, 2021"
1974 Porsche 911 Coupe,"22,144 mi · Manual · LHD · Restored-Modified","Monterey County, CA, USA","$79,200
SOLD",Mecum,Auction,"Aug 14, 2021"
1975 Porsche 911S Slant Nose Cabriolet Conversion,"67,000 mi · Manual · LHD · Restomod & Custom","Saratoga, CA, USA","$40,500
SOLD",Bring a Trailer,Auction,"Aug 14, 2021"
1978 Porsche 911SC Targa,"167,000 mi · Manual · LHD · Original & Highly Original","Vancouver, BC, CAN","$39,750
SOLD",Bring a Trailer,Auction,"Aug 14, 2021"
1988 Porsche 911 Carrera Coupe G50,"110,000 mi · Manual · LHD · Original & Highly Original","Folsom, CA, USA","$108,000
SOLD",Bring a Trailer,Auction,"Aug 14, 2021"
1975 Porsche 911 Turbo Carrera,TMU · Manual · LHD · Restored-Modified,"Monterey County, CA, USA","$179,200
SOLD",RM Sotheby's,Auction,"Aug 13, 2021"
1970 Porsche 911S,"74,235 mi · Manual · LHD · Restored-Original","Monterey County, CA, USA","$264,000
SOLD",Mecum,Auction,"Aug 13, 2021"
1980 Porsche 935 K3,Manual · LHD · Restored-Original,"Monterey County, CA, USA","$1,930,000
SOLD",Gooding & Company,Auction,"Aug 13, 2021"
